id,start_academic_year,provider_name,provider_code,provider_ukprn,partner_name,partner_reference,partner_type,school_name,school_urn,subject_name
743a8e89-9dd7-4267-985d-928732261913,2019,University of Wolverhampton,W75,10007166,,,,Northwood Park Primary School,141648,Primary
aacba670-b6f3-4d00-a1cb-7d8a6523a0d9,2019,University of Wolverhampton,W75,10007166,,,,Norton Canes Primary Academy,140489,Primary
14c30ee0-0b51-4104-9ac7-3bd230695b63,2019,Edge Hill University,E42,10007823,,,,Norwood Primary School,104865,Primary
348585f5-b102-4e3a-bc05-7cde2a021dea,2019,The University Of East Anglia,E14,10007789,,,,Notre Dame Preparatory School (Norwich) Limited,121239,Primary
1932c7ec-c0c9-4edd-9a42-d481bab51a99,2019,University of Worcester,W80,10007139,,,,Nunnery Wood Primary School,145836,Primary
f8f6d040-e195-425e-a469-930bfe7e55c8,2019,University of Chichester,C58,10007137,,,,"Nyewood CofE Infant School, Bognor Regis",126052,Primary
eecaa46c-ad43-4507-ad7b-e7b74c0a99c6,2019,University of Chichester,C58,10007137,,,,Nyewood CofE Junior School,126021,Mathematics
742f4033-0541-4b8e-b554-1a7e63f7b0e4,2019,Liverpool Hope University,L46,10003956,,,,Oakfield High School and College,131530,Chemistry
54744123-e8a0-4da3-b072-f8983c060327,2019,University of Wolverhampton,W75,10007166,,,,Oakham Primary School,103950,Primary
91b24a76-514d-4d3f-80cc-6039aebb4cd1,2019,Sheffield Hallam University,S21,10005790,,,,Oakhill Primary Academy,144484,Primary
36f10bec-7e75-4ff1-a0cf-00786801d524,2019,St Mary's University,S64,10007843,,,,Oaklands Primary Academy,142234,Primary
e535bdeb-965e-454f-8644-48a5d05476f7,2019,The University of Brighton,B72,10000886,,,,Oaklands Primary Academy,142234,Primary
d9e7091b-1757-4a1d-9b1a-cc62c8debd5c,2019,University of Hertfordshire,H36,10007147,,,,Oaklands Primary School,117261,Primary
e96b4b0f-c8ef-462e-bc9a-e424f784153f,2019,Canterbury Christ Church University,C10,10001143,,,,Oaklands School,148117,Primary
667b4921-2cf3-4215-be40-42b29b0bcb73,2019,Canterbury Christ Church University,C10,10001143,,,,Oakley School,132148,Primary
a3fc7fcc-e4c8-4910-80d4-05b27116b8e7,2019,Staffordshire University,S72,10006299,,,,Oakridge Primary School,124130,Primary
353402c7-ea8e-4874-b65d-655cb72fc7e7,2019,Nottingham Trent University,N91,10004797,,,,Oakwood Infant and Nursery School,112767,Primary
100888f7-96eb-44a5-a715-acfd1104ca7c,2019,Sheffield Hallam University,S21,10005790,,,,Oakwood Junior School,146938,Primary
f5a7ac94-2749-4d5b-ad47-47007f9322a1,2019,University of Derby,D39,10007851,,,,Oakwood Junior School,146938,Primary
587bf265-c999-4ab8-85e9-dab50a4db472,2019,The University of Brighton,B72,10000886,,,,Oasis Academy Lord's Hill,135628,Physical education
33c779b5-caf5-45db-9c3f-91a17cdc1dbe,2019,"University of the West of England, Bristol",B80,10007164,,,,Oasis Academy Marksbury Road,140268,Primary
082985d5-e7e7-40ad-ae17-bcd700af1bfd,2019,Leeds Trinity University,L24,10003863,,,,Oatlands Infant School,142592,Primary
ccb8076c-736d-4491-8e67-5c4d62fbe0e9,2019,Birmingham City University,B25,10007140,,,,Ocker Hill Infant School,103919,Primary
67f7a5f8-fa9c-46ef-9d42-09e17783e6ba,2019,University of Sussex,S90,10007806,,,,Ocklynge Junior School,144954,Primary
427b091a-54e8-4007-8521-785832e1b79d,2019,University of Greenwich,G70,10007146,,,,Old Bexley Church of England School,142228,Primary
86820d7e-454b-4a0a-bc06-d1ed07e4a983,2019,The University Of East Anglia,E14,10007789,,,,Old Buckenham Primary School and Nursery,143135,Mathematics
3cd7780b-0808-49f4-8bf2-5a6065d00d5a,2019,"University of the West of England, Bristol",B80,10007164,,,,Oldcastle Primary School,402209,Primary
5cb96906-eebd-4b8a-a3a4-fc4aab14d6d7,2019,Nottingham Trent University,N91,10004797,,,,Old Dalby Church of England Primary School,140095,Primary
5b76dbfb-f108-477d-9c58-f46f635f0e6f,2019,University of Chester,C55,10007848,,,,Oldfield Primary School,111230,Primary
6b874ea5-ed2c-40a5-a5b7-5ef25ce1b195,2019,University of Hull,H72,10007149,,,,Oldfleet Primary School,147628,Primary
bc45f4d5-5a8b-4a9b-af53-c67e785ed450,2019,University of Winchester,W76,10003614,,,,Oliver's Battery Primary and Nursery School,116046,Primary
56456ee9-ed48-49ee-8e2b-35c413dba358,2019,Newman University,N36,10007832,,,,Olton Primary School,104076,Primary
088ac8ec-8cf0-467d-84dd-25453e4498dc,2019,"University of the West of England, Bristol",B80,10007164,,,,Olveston Church of England Primary School,109170,Primary
3da558c2-2719-44e7-a4f4-ae2e56401e7e,2019,The University of Brighton,B72,10000886,,,,Orchard Park High School,142040,Physical education
92250d28-3d4c-4ab8-8210-e3b24a8430e1,2019,University of Huddersfield,H60,10007148,,,,Orchard Primary Academy,142003,Primary
c1f05850-69c0-4429-82b0-fd2e2be7cdb3,2019,University Of Plymouth,P60,10007801,,,,Orchard Vale Community School,137644,Primary
95d4b701-df2f-422a-8b22-72076afb9fd3,2019,St Mary's University,S64,10007843,,,,Orleans Park School,138651,English
584d82cc-73af-4180-bfa9-d3906e5989fe,2019,Birmingham City University,B25,10007140,,,,Ormiston Forge Academy,137673,Primary
08fedfd4-bfdb-4c82-868a-655920a9dd08,2019,Birmingham City University,B25,10007140,,,,Ormiston Sandwell Community Academy,135979,Biology
8f0163af-8265-4b94-92a3-4f9c1a3b491a,2019,University of Wolverhampton,W75,10007166,,,,Ormiston Sandwell Community Academy,135979,Mathematics
bdf39550-c7e4-40b9-9ca5-1a155d0e4adc,2019,University of Wolverhampton,W75,10007166,,,,Ormiston Shelfield Community Academy,135769,History
b6d5327d-a618-4598-9182-33c1f407876e,2019,Birmingham City University,B25,10007140,,,,Ormiston SWB Academy,145008,Computing
75558f46-469e-47e2-bd4c-2f57357ab936,2019,Birmingham City University,B25,10007140,,,,Ormiston SWB Academy,145008,Primary
1c6a1d4e-4cbf-4544-8504-7b08e1b64d58,2019,The University Of East Anglia,E14,10007789,,,,Ormiston Victory Academy,136186,English
8692977a-2c3c-4292-82e3-86a583ff3ad9,2019,Edge Hill University,E42,10007823,,,,Ormskirk Asmall Primary School,119314,Primary
dbb93983-4630-40a6-8b53-b1bfc1ed1a8f,2019,Edge Hill University,E42,10007823,,,,Ormskirk Church of England Primary School,119372,Primary
edf62b52-ba54-49e0-bc34-6c593493bdd1,2019,Edge Hill University,E42,10007823,,,,Ormskirk St Anne's Catholic Primary School,119682,Primary
4ced30cc-3c68-4864-a076-79f7c5dfb95d,2019,Edge Hill University,E42,10007823,,,,Ormskirk West End School,119282,Primary
177ff429-a214-4995-9805-e36537b3299c,2019,Edge Hill University,E42,10007823,,,,Orrets Meadow School,105140,Primary
fb6e263c-730b-4419-a9bf-b0290fc9d2a3,2019,Lincoln Bishop University,B38,10007811,,,,Orston Primary School,122668,Primary
a238cc98-7090-4092-be2a-9bfa31d6ea30,2019,Leeds Trinity University,L24,10003863,,,,Osbaldwick Primary Academy,146028,Primary
771f7c03-450f-4231-8e90-171c6f395d67,2019,Edge Hill University,E42,10007823,,,,Oswaldtwistle St Andrew's Church of England Primary School,119413,Modern languages
220a7fd8-adfe-4015-bffa-bb91f50de3a6,2019,Edge Hill University,E42,10007823,,,,Oswaldtwistle St Andrew's Church of England Primary School,119413,Primary
711b1833-bf88-458a-aaca-cbc02e2ca8c0,2019,University of Cumbria,C99,10007842,,,,Oswaldtwistle St Paul's Church of England Primary School,119451,Primary
d4f392cd-93f0-42fa-857c-f0285ec7865b,2019,University of Chester,C55,10007848,,,,Oswestry School,123613,Primary
0eda06bd-52a1-4e93-a63e-55d4a21f9b91,2019,Leeds Beckett University,L27,10003861,,,,Otley All Saints CofE Primary School,133555,Primary
e494f466-54e9-45cf-8aa3-5ddbb937d4be,2019,Sheffield Hallam University,S21,10005790,,,,Oughtibridge Primary School,145832,Primary
fae10c68-e9aa-456a-896e-d25e9dfa35b3,2019,Edge Hill University,E42,10007823,,,,"Our Lady and All Saints Roman Catholic Primary School, Parbold",119694,Primary
37140056-dfe9-4257-a8be-f54b5e1e6b73,2019,University of Northumbria at Newcastle,N77,10001282,,,,Our Lady and St Anne's Catholic Primary School,148273,Primary
85239712-9983-4487-bd40-16c0c7a6aa8d,2019,Leeds Trinity University,L24,10003863,,,,"Our Lady and St Brendan's Catholic Primary School, A Voluntary Academy",148256,Primary
0b7caa45-d852-49d8-abb7-fa8cdc4dcb7a,2019,Liverpool Hope University,L46,10003956,,,,Our Lady and St Edward's Catholic Primary School,105086,Primary
c06d4155-2989-4ff4-848d-71680c73cf42,2019,Roehampton University,R48,10007776,,,,Our Lady and St John's Catholic Primary School,102526,Primary
17d45858-a275-4649-8a0b-907670ed76d1,2019,University of Cumbria,C99,10007842,,,,Our Lady and St Patrick's Catholic Primary School,112337,Primary
73e78d86-121d-48f1-a198-6e13d37a3e1b,2019,Edge Hill University,E42,10007823,,,,Our Lady and St Philomena's Catholic Primary School,131837,Primary
88f08e98-3207-4cb6-b0b2-bd25d99dbd61,2019,Staffordshire University,S72,10006299,,,,Our Lady and St Werburgh's Catholic Primary School,145687,Primary
25dea0b1-88cc-4a41-8801-fc0689cf78a3,2019,St Mary's University,S64,10007843,,,,Our Lady Immaculate Catholic Primary School,102595,Primary
c1e511b2-03a0-45c2-a655-f28542be1f97,2019,Birmingham City University,B25,10007140,,,,Our Lady of Compassion Catholic Primary School,148089,Primary
dedd7ab8-2e8e-49ae-9297-23a2d87f0280,2019,Edge Hill University,E42,10007823,,,,Our Lady of Compassion Catholic Primary School,104930,Primary
f108ee8b-ab54-448c-8499-7901de7c0ff6,2019,University of Greenwich,G70,10007146,,,,"Our Lady of Hartley Catholic Primary School, Hartley, Longfield",141532,Primary
f3fd515c-f5a0-450e-acaf-e34e2b701a05,2019,Liverpool Hope University,L46,10003956,,,,Our Lady of Lourdes Catholic Primary School,104916,Primary
e5cd7189-f09e-48b1-b31f-b910afc8c071,2019,University of Cumbria,C99,10007842,,,,"Our Lady of Lourdes Catholic Primary School, Carnforth",119618,Primary
bfe62210-1573-48bf-9bc9-9aa70e9df103,2019,St Mary's University,S64,10007843,,,,Our Lady of Peace Catholic Primary and Nursery School,110035,Primary
9842b407-d4ba-4b00-964b-ec15f29e5e82,2019,Liverpool Hope University,L46,10003956,,,,Our Lady of the Assumption Catholic Primary School,133337,Primary
d3e9fe29-f7d1-4339-86d4-589a67987182,2019,University Of Plymouth,P60,10007801,,,,"Our Lady of the Rosary Catholic Primary School, Bristol",109251,Primary
7798f84d-0da6-45eb-bb42-fde16f36d978,2019,St Mary's University,S64,10007843,,,,Our Lady of the Rosary RC Primary School,125215,Primary
df05d1ed-5c05-4f19-9e15-be54671cf00f,2019,St Mary's University,S64,10007843,,,,Our Lady of the Visitation Catholic Primary School,101920,Primary
63a948f6-8e68-4238-9e0b-85515bef19c7,2019,University of Sussex,S90,10007806,,,,"Our Lady Queen of Heaven Catholic Primary School, Crawley",126044,Primary
93c23ac6-2f29-4a63-ae2e-a289b279d5cb,2019,Edge Hill University,E42,10007823,,,,Our Lady Queen of Peace Catholic Primary School,104935,Primary
efca4ad2-0e2f-42a0-a51e-35c262a7c178,2019,Edge Hill University,E42,10007823,,,,Our Lady's Catholic Primary School,104459,Primary
16da2ba5-65f5-4dc3-819f-2d202e553b88,2019,University of Worcester,W80,10007139,,,,Our Lady's RC Primary School,116883,Primary
e5e4adfa-5da5-45e6-9d1f-3ff3ccbda591,2019,Liverpool Hope University,L46,10003956,,,,Our Lady Star of the Sea Catholic Primary School,104929,Primary
42ccadcb-3894-433c-938e-c1c964f59db6,2019,Sheffield Hallam University,S21,10005790,,,,Outwood Academy City,140415,Biology
69c234fd-ae27-44d0-b258-1c74ee3535c7,2019,Sheffield Hallam University,S21,10005790,,,,Outwood Academy City,140415,Mathematics
e2f59d9c-0ea2-4005-92f9-4642fb46bac8,2019,The Manchester Metropolitan University,M40,10004180,,,,Outwood Primary School,106094,Primary
e7ea661e-2049-4456-8eee-6beb6bcfdd0a,2019,University of Huddersfield,H60,10007148,,,,Overthorpe CofE Academy,138979,Primary
2e46bde2-7000-41d7-9a9a-2a75a99bad57,2019,University of Northumbria at Newcastle,N77,10001282,,,,Ovingham Church of England First School,146931,Primary
